id,stockid_i,stockid_j,date1,time1,lnA_B,lnA_B_sub,lnA_BsubC,lnA_BaddC,close_1,close_2,pearson_,norm_,avg_,stdev_,sample,commission,norm_num,open_,close_,clsoe_stats,values
67,GBPCAD,GBPSGD,2015.11.30,16:45,-0.055968618025395545,-0.0009597694435078408,-0.055685916528021906,-0.05625123962521916,2.00714,2.12268,,,,,100,0.0006,0.9,0,0,0,0
68,GBPCAD,GBPSGD,2015.11.30,17:00,-0.05469837370196928,0.0012702443234262617,-0.0544157001738762,-0.05498096734831881,2.00989,2.12289,,,,,100,0.0006,0.9,0,0,0,0
69,GBPCAD,GBPSGD,2015.11.30,17:15,-0.05512720365772894,-0.00042882995575965754,-0.054844302218702845,-0.055410025086165327,2.00741,2.12118,,,,,100,0.0006,0.9,0,0,0,0
70,GBPCAD,GBPSGD,2015.11.30,17:30,-0.055491884372256495,-0.00036468071452755435,-0.055209052278356485,-0.055774636494781205,2.00717,2.1217,,,,,100,0.0006,0.9,0,0,0,0
71,GBPCAD,GBPSGD,2015.11.30,17:45,-0.055921838994262285,-0.0004299546220057904,-0.05563907354631581,-0.05620452450851232,2.00678,2.1222,,,,,100,0.0006,0.9,0,0,0,0
72,GBPCAD,GBPSGD,2015.11.30,18:00,-0.05616939091445505,-0.00024755192019276784,-0.05588631596375415,-0.05645238575640443,2.00409,2.11988,,,,,100,0.0006,0.9,0,0,0,0
73,GBPCAD,GBPSGD,2015.11.30,18:15,-0.05729640919986578,-0.0011270182854107302,-0.05701374765691314,-0.05757899086784768,2.00476,2.12298,,,,,100,0.0006,0.9,0,0,0,0
74,GBPCAD,GBPSGD,2015.11.30,18:30,-0.05594841118972438,0.0013479980101414046,-0.05566551508614592,-0.0562312272857306,2.0058,2.12122,,,,,100,0.0006,0.9,0,0,0,0
75,GBPCAD,GBPSGD,2015.11.30,18:45,-0.05598977439523978,-4.136320551539896e-05,-0.055706699444538876,-0.05627276923718916,2.00445,2.11988,,,,,100,0.0006,0.9,0,0,0,0
76,GBPCAD,GBPSGD,2015.11.30,19:00,-0.05561608561732678,0.00037368877791299493,-0.05533298395362929,-0.05589910715715507,2.00501,2.11968,,,,,100,0.0006,0.9,0,0,0,0
77,GBPCAD,GBPSGD,2015.11.30,19:15,-0.05550556993239175,0.00011051568493503083,-0.05522252168964681,-0.05578853808149875,2.00561,2.12008,,,,,100,0.0006,0.9,0,0,0,0
78,GBPCAD,GBPSGD,2015.11.30,19:30,-0.05576732555753017,-0.00026175562513841566,-0.05548443745674603,-0.05605013365526812,2.00622,2.12128,,,,,100,0.0006,0.9,0,0,0,0
79,GBPCAD,GBPSGD,2015.11.30,19:45,-0.054996075900030084,0.0007712496575000838,-0.054713107750923085,-0.055278964000814224,2.0072,2.12068,,,,,100,0.0006,0.9,0,0,0,0
80,GBPCAD,GBPSGD,2015.11.30,20:00,-0.05475627432158503,0.00023980157844505356,-0.054473159299498475,-0.05503930921224176,2.00664,2.11958,,,,,100,0.0006,0.9,0,0,0,0
81,GBPCAD,GBPSGD,2015.11.30,20:15,-0.05485373355620815,-9.745923462312067e-05,-0.054570754730568494,-0.055136632327485224,2.00741,2.1206,,,,,100,0.0006,0.9,0,0,0,0
82,GBPCAD,GBPSGD,2015.11.30,20:30,-0.05508735210475846,-0.00023361854855030728,-0.05480445066573236,-0.055370173533194844,2.00749,2.12118,,,,,100,0.0006,0.9,0,0,0,0
83,GBPCAD,GBPSGD,2015.11.30,20:45,-0.05504625953057396,4.1092574184498076e-05,-0.054763414103713104,-0.055329024978520436,2.00797,2.1216,,,,,100,0.0006,0.9,0,0,0,0
84,GBPCAD,GBPSGD,2015.11.30,21:00,-0.05536020469897196,-0.0003139451683979999,-0.055077556471650024,-0.05564277305884735,2.00874,2.12308,,,,,100,0.0006,0.9,0,0,0,0
85,GBPCAD,GBPSGD,2015.11.30,21:15,-0.055493040510297464,-0.0001328358113255046,-0.05521049876287498,-0.05577550245042928,2.00923,2.12388,,,,,100,0.0006,0.9,0,0,0,0
86,GBPCAD,GBPSGD,2015.11.30,21:30,-0.054893997561334285,0.0005990429489631799,-0.05461141589335239,-0.055176499399475,2.01015,2.12358,,,,,100,0.0006,0.9,0,0,0,0
87,GBPCAD,GBPSGD,2015.11.30,21:45,-0.054576283438282025,0.00031771412305225954,-0.05429364852533647,-0.05485883849130435,2.01041,2.12318,,,,,100,0.0006,0.9,0,0,0,0
88,GBPCAD,GBPSGD,2015.11.30,22:00,-0.054402204749301575,0.0001740786889804502,-0.05411956983635602,-0.0546847598023239,2.01076,2.12318,,,,,100,0.0006,0.9,0,0,0,0
89,GBPCAD,GBPSGD,2015.11.30,22:15,-0.05421351481625658,0.00018868993304499426,-0.053930853273303936,-0.054496096484238477,2.01095,2.12298,,,,,100,0.0006,0.9,0,0,0,0
90,GBPCAD,GBPSGD,2015.11.30,22:30,-0.05393979998774012,0.0002737148285164581,-0.053657165074794566,-0.05422235504076245,2.01169,2.12318,,,,,100,0.0006,0.9,0,0,0,0
91,GBPCAD,GBPSGD,2015.11.30,22:45,-0.053903380250137634,3.6419737602488844e-05,-0.05362065211020761,-0.05418602847745957,2.0111,2.12248,,,,,100,0.0006,0.9,0,0,0,0
